trip_id,arrival_time,departure_time,stop_id,stop_sequence
T3-01,06:00:00,06:00:00,S101,1
T3-01,06:04:00,06:04:00,S102,2
T3-01,06:07:00,06:07:00,S103,3
T3-01,06:10:00,06:10:00,S104,4
T3-01,06:14:00,06:14:00,S105,5
T3-01,06:17:00,06:17:00,S106,6
T3-01,06:20:00,06:20:00,S107,7
T3-01,06:24:00,06:24:00,S108,8
A24-01,06:00:00,06:00:00,S201,1
A24-01,06:05:00,06:05:00,S202,2
A24-01,06:11:00,06:11:00,S203,3
A24-01,06:14:00,06:14:00,S204,4
A24-01,06:18:00,06:18:00,S205,5
A24-01,06:24:00,06:24:00,S206,6
A24-01,06:29:00,06:29:00,S207,7
A24-01,06:38:00,06:38:00,S208,8
TR7-01,06:00:00,06:00:00,S301,1
TR7-01,06:04:00,06:04:00,S302,2
TR7-01,06:08:00,06:08:00,S303,3
TR7-01,06:12:00,06:12:00,S304,4
TR7-01,06:18:00,06:18:00,S305,5
TR7-01,06:21:00,06:21:00,S306,6
TR7-01,06:28:00,06:28:00,S307,7
